Campaign_ID,Budget,Clicks,CTR,CPC_raw,Conversions,CPA_raw,CVR,Duration,Platform,Content_Type,Target_Age,Target_Gender,Region,Revenue,Spend,ROAS,Date,Impressions,CPC,CPA,Log_CTR,Log_Conversions,Log_Revenue,Log_ROAS,Log_CPC,Log_CPA,year,month,day,weekday,dayofyear,RPC
C3578,6390,401,0.0461,15.94,174,36.72,0.4339,20,Instagram,Carousel,35-44,Male,Europe,27840,6453.9,4.31,2025-01-19,8698,16.094513715710722,37.09137931034483,0.04506896336757812,5.1647859739235145,10.234265033343494,1.6695918352538475,2.8387575766913917,3.639987991710563,2025,1,19,6,19,160.0
C6702,9870,1286,0.286,7.67,821,12.02,0.6384,28,LinkedIn,Text,55+,Male,Africa,128076,10067.4,12.72,2025-01-22,4496,7.828460342146189,12.262362971985382,0.25153662581542763,6.71174039505618,11.760386924535565,2.6188546222977394,2.1779806327243696,2.584930171896934,2025,1,22,2,22,156.0
C9725,7700,1684,0.2122,4.57,1060,7.26,0.6295,15,Instagram,Video,35-44,Other,North America,193980,7623.0,25.45,2024-07-23,7935,4.526722090261282,7.191509433962264,0.19243689053504762,6.966967138613983,12.175515495104882,3.2752561583043085,1.7095948893834383,2.103098182954532,2024,7,23,1,205,183.0
C9472,8420,444,0.0961,18.96,308,27.34,0.6937,25,Google,Text,25-34,Male,North America,24024,8504.2,2.82,2024-04-20,4620,19.153603603603607,27.611038961038965,0.09175842523954066,5.733341276897746,10.086850233838494,1.3402504226184837,3.003383111291441,3.353792621014297,2024,4,20,5,111,78.0
C7601,8470,1912,0.3652,4.43,1428,5.93,0.7469,9,Google,Text,25-34,Other,Europe,277032,8046.5,34.43,2024-08-07,5235,4.20842050209205,5.634803921568627,0.311300938050415,7.264730177929867,12.531891911647643,3.5675589188773804,1.650276643215977,1.8923291152101396,2024,8,7,2,220,194.0
C2793,5450,663,0.0932,8.22,605,9.01,0.9125,20,YouTube,Text,45-54,Other,South America,21780,5177.5,4.21,2024-05-04,7113,7.80920060331825,8.557851239669422,0.0891091750717759,6.406879986069314,9.988793309115229,1.6505798557652755,2.175796698409888,2.257362936074753,2024,5,4,5,125,36.0
C8817,4420,1044,0.2902,4.23,452,9.78,0.433,13,Instagram,Text,25-34,Male,Europe,51528,4508.4,11.43,2024-08-09,3597,4.3183908045977,9.97433628318584,0.25479724511600427,6.115892125483034,10.849900034962806,2.5201129055226197,1.6711707772583702,2.395559481796386,2024,8,9,4,222,114.0
C1097,7720,1001,0.1036,7.71,916,8.43,0.9151,19,YouTube,Video,18-24,Other,North America,71448,7334.0,9.74,2024-05-19,9662,7.326673326673327,8.006550218340612,0.09857756336099396,6.821107472256465,11.176739187458812,2.3739750890807185,2.119464015869674,2.1979521146545964,2024,5,19,6,140,78.0
C9333,2070,379,0.0536,5.46,192,10.78,0.5066,29,LinkedIn,Video,25-34,Male,Africa,15744,2111.4,7.46,2024-06-16,7070,5.570976253298153,10.996875000000001,0.05221287144693424,5.262690188904886,9.664278133535126,2.135349173618132,1.8826624140449721,2.4846461992070257,2024,6,16,6,168,82.0
C1232,2710,83,0.0096,32.65,54,50.19,0.6506,23,YouTube,Image,35-44,Other,Africa,7236,2628.7,2.75,2024-11-04,8645,31.671084337349395,48.67962962962962,0.009554212804811658,4.007333185232471,8.886962034866128,1.3217558399823195,3.486490415675877,3.905594982477257,2024,11,4,0,309,134.0
C2507,3500,1248,0.2322,2.8,556,6.29,0.4455,10,Facebook,Carousel,55+,Male,South America,97856,3500.0,27.96,2024-09-16,5374,2.8044871794871793,6.294964028776978,0.20880118959833327,6.322565239927284,11.49126250833397,3.365915567517516,1.3361812068001857,1.9871842510204367,2024,9,16,0,260,176.0
C7297,2250,208,0.0254,10.82,13,173.08,0.0625,19,Google,Carousel,25-34,Female,South America,598,2137.5,0.28,2024-03-10,8188,10.276442307692308,164.42307692307693,0.025082780367463156,2.6390573296152584,6.395261598115449,0.2468600779315258,2.4227157980671947,5.108506294762254,2024,3,10,6,70,46.0
C4133,7460,1326,0.1529,5.63,154,48.44,0.1161,25,YouTube,Carousel,55+,Female,Europe,22792,7609.2,3.0,2024-07-06,8672,5.7384615384615385,49.41038961038961,0.14228050725677088,5.043425116919247,10.034208750259138,1.3862943611198906,1.907831640480809,3.9201972968960472,2024,7,6,5,188,148.0
C5129,9490,1391,0.1627,6.82,1288,7.37,0.926,9,Facebook,Text,55+,Male,South America,136528,9774.7,13.97,2024-11-16,8549,7.027102803738318,7.589052795031057,0.15074488669242544,7.161622002939187,11.824292325254406,2.706048198431537,2.082823666310273,2.1504884615845064,2024,11,16,5,321,106.0
C2514,2810,1491,0.1635,1.88,1068,2.63,0.7163,30,Facebook,Video,55+,Male,North America,206124,2950.5,69.86,2024-06-10,9119,1.9788732394366197,2.7626404494382024,0.15143270376020937,6.974478911025045,12.2362380598619,4.260706099437326,1.0915451214450174,1.325120958132633,2024,6,10,0,162,193.0
C8001,3300,1765,0.2958,1.87,454,7.27,0.2572,28,YouTube,Video,18-24,Other,Asia,86260,3168.0,27.23,2024-07-19,5966,1.794900849858357,6.977973568281938,0.25912826503371983,6.12029741895095,11.365132862993436,3.340385242265398,1.0277966318663412,2.0766844404020106,2024,7,19,4,201,190.0
C1589,9370,1696,0.2854,5.52,790,11.86,0.4658,21,Facebook,Text,55+,Male,Asia,120080,9088.9,13.21,2024-07-25,5942,5.359021226415094,11.50493670886076,0.2510699539550487,6.673297967767654,11.695921794054147,2.6539459421090092,1.8498744702911942,2.5261235030501417,2024,7,25,3,207,152.0
C6840,3290,376,0.1717,8.75,115,28.61,0.3059,9,Google,Video,55+,Male,South America,17020,3388.7,5.02,2024-09-16,2189,9.0125,29.466956521739128,0.15845568569197283,4.7535901911063645,9.742203154807973,1.7950872593207297,2.3038343123944776,3.416642703589379,2024,9,16,0,260,148.0
C9831,9800,544,0.0781,18.01,62,158.06,0.114,23,Instagram,Carousel,45-54,Female,North America,8618,9800.0,0.88,2024-03-22,6965,18.014705882352942,158.06451612903226,0.07520023256293519,4.143134726391533,9.061724347647399,0.6312717768418579,2.945212673595751,5.06930988173898,2024,3,22,4,82,139.0
C2679,8760,419,0.0892,20.91,251,34.9,0.599,11,Instagram,Video,18-24,Other,Asia,42419,8409.6,5.04,2024-04-19,4697,20.070644391408116,33.50438247011952,0.08544348181746748,5.529429087511423,10.655375228118674,1.7984040119467235,3.0478808107090494,3.541086344089332,2024,4,19,4,110,169.0
C9010,4120,1076,0.1946,3.83,1027,4.01,0.9545,11,Instagram,Video,45-54,Male,South America,186914,3914.0,47.76,2024-06-04,5529,3.637546468401487,3.8111002921129504,0.17781140131606854,6.93537044601511,12.138409247045077,3.8869103046130706,1.5341854480238346,1.5709258089171918,2024,6,4,1,156,182.0
C5916,6950,1862,0.2108,3.73,1460,4.76,0.7841,18,Google,Image,35-44,Female,Africa,58400,6880.5,8.49,2024-02-26,8833,3.6952201933404942,4.712671232876712,0.19128129816542652,7.2868764117507,10.975088291957388,2.2502386126218363,1.5465450111005186,1.742686730891728,2024,2,26,0,57,40.0
C8963,4550,345,0.0728,13.19,139,32.73,0.4029,13,YouTube,Text,45-54,Other,Africa,19460,4641.0,4.19,2024-03-07,4739,13.452173913043477,33.388489208633096,0.07027205298533172,4.941642422609304,9.876167741881165,1.6467336971777973,2.6708448470521433,3.53772189235481,2024,3,7,3,67,140.0
C3000,9940,1941,0.5882,5.12,832,11.95,0.4286,16,Facebook,Carousel,25-34,Other,North America,134784,10039.4,13.43,2024-09-29,3299,5.172282328696548,12.066586538461538,0.4626012994789735,6.725033642166843,11.811436195304323,2.6693093727857793,1.8200686769246666,2.5700583258489083,2024,9,29,6,273,162.0
